Адрес,Цена,Тип предложения,Площадь участка,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Санузел,Пол,Cвет,Отопление,"Площадь, кв.м","Стоимость, доллар США за 1 кв.м",Город,Село
"с. Беш-Кунгей, Чокомбаева Абакира",96000,собственник,6.0,,,,42.7923,74.6526,,,,,,0,0,0,0,0,0,0,0,0,0,600.0,160.0,с. Беш-Кунгей,False
"с. Беш-Кунгей, Чыныбаева  Сагалы",75000,собственник,6.0,,,,42.789,74.6537,,,,,,1,1,1,0,1,0,0,0,0,0,600.0,125.0,с. Беш-Кунгей,False
"Бишкек, БГУ, Сухомлинова 29/2-ая линия",140000,собственник,3.6,"договор дарения,                                             технический паспорт,                                             красная книга",0.0,обмен не предлагать,42.8471,74.5823,город,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,1,360.0,388.8888888888889,Бишкек,False
"с. Каджи-Сай, А-363 1/Ачикеева",15000,собственник,4.0,,,обмен не предлагать,42.1619,77.163,,все документы,есть,,,1,0,0,0,0,0,0,0,0,0,400.0,37.5,с. Каджи-Сай,False
"Бишкек, Кызыл-Аскер ж/м, Мессароша",42000,собственник,5.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,рассмотрю варианты,42.8718,74.5355,город,"госакт,                                             ровный,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,1,500.0,84.0,Бишкек,False
"Бишкек, Джальская больница, Сухомлинова / Островского",100000,собственник,3.0,,,,42.8468,74.5747,,,,,,0,0,0,0,0,0,0,0,0,0,300.0,333.3333333333333,Бишкек,False
"Бишкек, Мед. академия, советская",351000,агент,4.0,,,,42.8449,74.6087,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,877.5,Бишкек,False
с. Кок-Джар,22000,собственник,5.0,,,,42.8089,74.6589,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,44.0,с. Кок-Джар,False
Бишкек,460000,агент,18.0,,1.0,рассмотрю варианты,42.8632,74.6216,,"огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,0,1,1,0,0,0,0,0,1,0,1800.0,255.55555555555554,Бишкек,False
"с. Таш-Добо, Бегельдинова 11",44000,собственник,7.0,"красная книга,                                             договор купли-продажи",,рассмотрю варианты,42.7216,74.5727,,"все документы,                                             огорожен,                                             дом",,,,0,1,1,0,1,0,0,0,1,0,700.0,62.857142857142854,с. Таш-Добо,False
"Бишкек, Киргизия 1 ж/м, Мостовая/Самойленко",575000,собственник,23.0,красная книга,,,42.8163,74.5812,город,,,,,0,0,0,0,0,0,0,0,0,0,2300.0,250.0,Бишкек,False
"Бишкек, Душанбинка",45000,собственник,5.0,зеленая книга,,рассмотрю варианты,42.8518,74.5925,город,,,,,1,1,1,0,1,0,0,0,1,1,500.0,90.0,Бишкек,False
"с. Джал, 60-лет СССР 37",27000,собственник,6.0,красная книга,,рассмотрю варианты,42.7882,74.5205,,"ровный,                                             все документы",,,,1,1,1,0,0,0,0,0,1,0,600.0,45.0,с. Джал,False
с. Горная Маевка,36000,собственник,8.0,красная книга,,,42.6989,74.7452,предгорье,дом,,,,0,0,1,0,0,0,0,0,0,0,800.0,45.0,с. Горная Маевка,False
"с. Каджи-Сай, Чап",110000,собственник,200.0,красная книга,1.0,рассмотрю варианты,42.1563,77.1393,трасса,"госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,20000.0,5.5,с. Каджи-Сай,False
с. Корумду (Иссык-Кульский р-н),315000,собственник,30.0,,,,42.6882,77.3487,,,,,,0,0,0,0,0,0,0,0,0,0,3000.0,105.0,с. Корумду (Иссык-Кульский р-н),False
с. Милянфан,110000,собственник,35.0,"договор купли-продажи,                                             красная книга",,,42.9649,74.81,трасса,"все документы,                                             удобный въезд,                                             удобно под коммерцию",,,,0,0,0,0,0,0,0,0,1,0,3500.0,31.428571428571427,с. Милянфан,False
с. Бактуу-Долоноту,10000,собственник,6.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,обмен на авто,42.6525,77.1373,трасса,,,,,0,0,0,0,0,0,0,0,0,0,600.0,16.666666666666668,с. Бактуу-Долоноту,False
с. Котовское,50000,собственник,1000.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.9157,74.8583,водоем,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы,                                             возможна аренда",есть,,,0,1,1,0,0,0,0,0,1,0,100000.0,0.5,с. Котовское,False
"с. Ленинское, Восточная 295/Маслопромский",40000,собственник,16.0,,,обмен не предлагать,42.9806,74.6761,,"сад,                                             огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,0,1,0,1,0,0,0,1,0,1600.0,25.0,с. Ленинское,False
"с. Сосновка, Первомайская 213",50000,собственник,29.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,,42.6796,73.8966,трасса,"хозпостройки,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,2900.0,17.24137931034483,с. Сосновка,False
"Бишкек, Кок-Жар ж/м",80000,агент,9.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,рассмотрю варианты,42.8361,74.6389,трасса,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,900.0,88.88888888888889,Бишкек,False
"Бишкек, АУЦА",115000,агент,4.8,красная книга,0.0,рассмотрю варианты,42.8046,74.6292,предгорье,"ровный,                                             удобный въезд",нет,,,0,0,1,0,0,0,0,0,1,0,480.0,239.58333333333334,Бишкек,False
"Бишкек, Рухий Мурас ж/м, Рухий Мурас 2",40000,собственник,4.0,,,,42.8543,74.7045,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,100.0,Бишкек,False
с. Прохладное,28500,собственник,7.0,"договор купли-продажи,                                             красная книга",,обмен на авто,42.7225,74.6723,,все документы,,,,1,0,1,0,0,0,0,0,1,0,700.0,40.714285714285715,с. Прохладное,False
с. Прохладное,25000,собственник,8.0,,,,42.7218,74.6727,,,,,,0,0,0,0,0,0,0,0,0,0,800.0,31.25,с. Прохладное,False
"Бишкек, Дворец спорта, Абдымомунова 243/Исанова",160000,собственник,4.0,технический паспорт,,,42.8803,74.5928,,,,,,0,1,1,0,1,0,0,0,1,0,400.0,400.0,Бишкек,False
"с. Беш-Кунгей, Беш Кунгей улица Таранчиева 80",46500,собственник,10.0,красная книга,,,42.7798,74.654,город,,,,,0,0,0,0,0,0,0,0,0,0,1000.0,46.5,с. Беш-Кунгей,False
"с. Военно-Антоновка, Военно антоновка Вос тарапта.",12500,собственник,4.0,,0.0,обмен на авто,42.8554,74.4536,,,нет,,,0,0,0,0,0,0,0,0,0,0,400.0,31.25,с. Военно-Антоновка,False
с. Шалта,75000,агент,23.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,рассмотрю варианты,42.7941,74.4845,дача,"фундамент,                                             сад,                                             хозпостройки,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,0,1,1,0,0,0,0,0,1,0,2300.0,32.608695652173914,с. Шалта,False
"с. Кара-Ой, кара ой 312/кара ой",2488,собственник,2.2,"красная книга,                                             договор купли-продажи",1.0,с доплатой покупателя,42.6309,76.9947,город,,есть,,,0,0,0,0,0,0,0,0,0,0,220.00000000000003,11.309090909090907,с. Кара-Ой,False
Лебединовка,5000,собственник,100.0,зеленая книга,,,42.8848,74.6756,,,,,,0,0,0,0,0,0,0,0,0,0,10000.0,0.5,Лебединовка,False
"Бишкек, Кудайберген, Троицкая/П Лумумбы",78000,собственник,4.0,договор купли-продажи,,рассмотрю варианты,42.8804,74.5255,город,"сад,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,0,1,1,0,1,0,0,0,1,1,400.0,195.0,Бишкек,False
"с. Луч, Садовая 40",14000,собственник,6.75,красная книга,0.0,рассмотрю варианты,42.9171,74.4572,дача,,нет,,,0,0,1,0,0,0,0,0,1,0,675.0,20.74074074074074,с. Луч,False
"Бишкек, Арча-Бешик ж/м, Ак туз 61",105000,собственник,8.0,"красная книга,                                             договор купли-продажи,                                             технический паспорт",,,42.8237,74.5535,город,времянка,,,,1,1,1,0,1,0,0,0,1,0,800.0,131.25,Бишкек,False
Ош,20000,собственник,40.0,,,,40.5823,72.7944,,,,,,0,0,0,0,0,0,0,0,0,0,4000.0,5.0,Ош,False
"Бишкек, Арча-Бешик ж/м, Жайыл Баатыра 167",200000,собственник,6.0,"технический паспорт,                                             красная книга",,рассмотрю варианты,42.8251,74.5377,трасса,"огорожен,                                             сад,                                             хозпостройки,                                             дом,                                             удобно под коммерцию,                                             все документы",,,,0,1,1,0,1,0,0,0,1,1,600.0,333.3333333333333,Бишкек,False
"с. Горная Серафимовка, Аманкулова 9",60000,агент,20.0,"технический паспорт,                                             красная книга",,,42.6909,74.8684,трасса,,,,,0,0,0,0,0,0,0,0,0,0,2000.0,30.0,с. Горная Серафимовка,False
с. Шалта,15000,собственник,6.0,,,,42.7871,74.4765,,,,,,1,0,1,0,0,0,0,0,1,1,600.0,25.0,с. Шалта,False
с. Чырпыкты,15000,собственник,6.0,красная книга,,рассмотрю варианты,42.5155,76.5986,,"ровный,                                             удобный въезд,                                             все документы,                                             удобно под коммерцию,                                             дом,                                             хозпостройки",,,,1,1,1,0,0,0,0,0,1,0,600.0,25.0,с. Чырпыкты,False
"Бишкек, Кок-Жар ж/м, Арстанбап 369/Чар",75000,собственник,4.0,"технический паспорт,                                             красная книга",0.0,,42.8528,74.6486,,"хозпостройки,                                             огорожен,                                             времянка,                                             удобный въезд",нет,,,1,1,1,0,1,0,0,0,1,0,400.0,187.5,Бишкек,False
"Бишкек, Гагарина, ж-м Арча-Бешик/Магистраль/ош3000",65000,собственник,4.0,,,рассмотрю варианты,42.8517,74.5422,город,"ровный,                                             удобный въезд",,,,1,1,1,0,0,0,0,0,1,1,400.0,162.5,Бишкек,False
"Бишкек, Горького - Панфилова, Айдаралиева/Медерова",550000,собственник,10.0,"красная книга,                                             технический паспорт",,с доплатой покупателя,42.8544,74.5943,,"удобный въезд,                                             все документы,                                             ровный",,,,1,1,1,0,1,0,0,0,1,1,1000.0,550.0,Бишкек,False
"Кемин, Бишкек-Нарын-Торугарт нет/нет",25000,собственник,30.0,красная книга,,,42.6722,75.8932,трасса,,,,,0,0,0,0,0,0,0,0,0,0,3000.0,8.333333333333334,Кемин,False
"Бишкек, с. Орто-Сай",72000,собственник,7.0,"красная книга,                                             технический паспорт,                                             договор купли-продажи",,обмен не предлагать,42.8063,74.6114,,,,,,0,0,1,0,1,0,0,0,1,0,700.0,102.85714285714286,Бишкек,False
"с. Новопокровка, Ленина 593/Кирова",68000,собственник,8.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8781,74.7095,трасса,"удобно под коммерцию,                                             дом,                                             хозпостройки,                                             все документы,                                             удобный въезд",,,,0,0,1,0,1,0,0,0,1,1,800.0,85.0,с. Новопокровка,False
"Бишкек, БГУ, юдахина 87/2/айни",67500,собственник,3.0,красная книга,,,42.8497,74.5785,город,"огорожен,                                             удобно под коммерцию,                                             дом,                                             все документы",,,,0,1,1,0,0,0,0,0,1,0,300.0,225.0,Бишкек,False
с. Орнок,38000,собственник,40.0,,,,42.6033,76.8431,,"огорожен,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,4000.0,9.5,с. Орнок,False
с. Ананьево,45000,собственник,30.0,красная книга,0.0,рассмотрю варианты,42.7103,77.6896,,"удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,0,0,1,0,0,0,0,0,1,0,3000.0,15.0,с. Ананьево,False
"с. Горная Маевка, Насип уулу садырбек 33",33000,собственник,22.0,"договор купли-продажи,                                             технический паспорт",,рассмотрю варианты,42.7102,74.7468,предгорье,,,,,0,0,0,0,0,0,0,0,0,0,2200.0,15.0,с. Горная Маевка,False
"с. Манас, район аэропорта",1800000,собственник,800.0,,,,42.9819,74.44,,,,,,0,0,0,0,0,0,0,0,0,0,80000.0,22.5,с. Манас,False
с. Таш-Башат,8000,собственник,6.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.6725,74.7686,,"огорожен,                                             фундамент,                                             все документы",,,,1,0,1,0,0,0,0,0,1,0,600.0,13.333333333333334,с. Таш-Башат,False
Бишкек,25000,собственник,4.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8575,74.4734,город,"огорожен,                                             госакт,                                             удобный въезд,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,400.0,62.5,Бишкек,False
"Бишкек, Ала-Тоо м-н, Маймак 5",60000,собственник,9.0,красная книга,0.0,обмен не предлагать,42.861,74.4817,,"фундамент,                                             хозпостройки,                                             времянка,                                             ровный,                                             все документы",нет,,,0,0,1,0,1,0,0,0,1,0,900.0,66.66666666666667,Бишкек,False
с. Кашка-Суу,300000,собственник,100.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,рассмотрю варианты,42.6913,74.5646,предгорье,"хозпостройки,                                             все документы",нет,,,1,0,1,0,0,0,0,0,1,0,10000.0,30.0,с. Кашка-Суу,False
"Бишкек, Аламединский рынок, Буденного 183",30000,собственник,3.5,,,,42.8876,74.6421,город,,,,,0,0,0,0,0,0,0,0,0,0,350.0,85.71428571428571,Бишкек,False
"с. Новониколаевка, Жайилийский район, с. Ново- Николаевка, ко. Энгельса 6 6",320000,собственник,42.0,красная книга,1.0,обмен не предлагать,42.8292,73.8823,,,,,,1,1,1,0,0,0,0,0,1,1,4200.0,76.19047619047619,с. Новониколаевка,False
с. Лесное (Сокулукский р-н),8000,собственник,4.0,красная книга,0.0,обмен на авто,42.9832,74.423,пригород,"ровный,                                             все документы",нет,,,0,0,0,0,0,0,0,0,0,0,400.0,20.0,с. Лесное (Сокулукский р-н),False
"Бишкек, 69-га, Барктабасова 17",35000,собственник,3.0,красная книга,,рассмотрю варианты,42.8149,74.5502,,огорожен,,,,1,1,1,0,1,0,0,0,1,0,300.0,116.66666666666667,Бишкек,False
"Бишкек, Орок ж/м, Коновалова 53",56000,собственник,15.0,красная книга,,,42.8076,74.5217,,"времянка,                                             ровный,                                             удобный въезд,                                             все документы,                                             огорожен",,,,1,0,1,0,0,0,0,0,1,0,1500.0,37.333333333333336,Бишкек,False
"Бишкек, Арча-Бешик ж/м, Чортекова/Куюкова",225000,агент,8.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8367,74.5433,трасса,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,800.0,281.25,Бишкек,False
"Бишкек, Арча-Бешик ж/м, Чортекова/Куюкова",450000,агент,16.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8364,74.5434,трасса,"хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,1600.0,281.25,Бишкек,False
"Бишкек, Советская - Скрябина",240000,агент,6.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",0.0,,42.8524,74.6015,трасса,"хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,600.0,400.0,Бишкек,False
"Бишкек, Ак-Ордо ж/м, Жаны Муун  6",37000,собственник,4.0,красная книга,1.0,,42.8445,74.4847,город,"фундамент,                                             хозпостройки,                                             госакт,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,400.0,92.5,Бишкек,False
с. Тамчы,1900000,собственник,1700.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.5617,76.6618,трасса,,,,,0,0,0,0,0,0,0,0,0,0,170000.0,11.176470588235293,с. Тамчы,False
с. Боконбаево,2000000,собственник,900.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.1588,77.041,трасса,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             удобный въезд,                                             все документы",,,,0,1,1,0,0,0,0,0,1,1,90000.0,22.22222222222222,с. Боконбаево,False
"Бишкек, Рухий Мурас ж/м",20000,собственник,4.0,договор дарения,,рассмотрю варианты,42.8622,74.7063,город,все документы,,,,0,0,1,0,0,0,0,0,1,0,400.0,50.0,Бишкек,False
"Бишкек, Ак-Тилек 2 ж/м, Тарагай 1б",51000,агент,5.0,,,,42.9239,74.6078,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,102.0,Бишкек,False
"Бишкек, Ак-Орго ж/м, Кырк-Чоро 163/От-Араба",165000,собственник,16.0,"красная книга,                                             зеленая книга,                                             технический паспорт,                                             акт ввода в эксплуатацию",,рассмотрю варианты,42.8569,74.5122,город,"фундамент,                                             сад,                                             хозпостройки,                                             огорожен,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,1,1,1,0,1,0,0,0,1,1,1600.0,103.125,Бишкек,False
с. Ивановка,20000,собственник,11.0,,,,42.8818,75.1046,,,,,,0,0,1,0,0,0,0,0,1,0,1100.0,18.181818181818183,с. Ивановка,False
"с. Новопокровка, Чеченова 62 А/Турсун Боря",22000,собственник,4.0,договор купли-продажи,,обмен не предлагать,42.8724,74.7032,пригород,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             времянка,                                             ровный",,,,1,0,1,0,0,0,0,0,1,0,400.0,55.0,с. Новопокровка,False
"с. Новое, Дача Геодезист",92205,собственник,305.0,зеленая книга,,рассмотрю варианты,42.7948,74.3501,дача,,,,,0,0,1,0,0,0,0,0,1,0,30500.0,3.0231147540983607,с. Новое,False
"с. Новопокровка, Береговая/Московская",700000,собственник,107.0,,,рассмотрю варианты,42.8661,74.7204,,,,,,0,0,0,0,0,0,0,0,0,0,10700.0,65.42056074766356,с. Новопокровка,False
"с. Новопокровка, Береговая/Шевченко",150000,собственник,38.0,,,рассмотрю варианты,42.8694,74.7129,,,,,,0,0,0,0,0,0,0,0,0,0,3800.0,39.473684210526315,с. Новопокровка,False
с. Новопокровка,50000,собственник,20.0,,,,42.866,74.7204,,,,,,0,0,0,0,0,0,0,0,0,0,2000.0,25.0,с. Новопокровка,False
"Бишкек, БГУ, юдахина 87/айни",67500,собственник,3.0,,,,42.8498,74.5784,город,,,,,0,0,0,0,0,0,0,0,0,0,300.0,225.0,Бишкек,False
"Кызыл-Адыр, Карла Маркса/ч",29500,собственник,12.0,красная книга,,рассмотрю варианты,42.6123,71.5829,город,"огорожен,                                             все документы",,,,0,0,1,0,0,0,0,0,1,0,1200.0,24.583333333333332,Кызыл-Адыр,False
"с. Лесное (Сокулукский р-н), Семетей 385/Манас",8000,собственник,4.0,красная книга,1.0,рассмотрю варианты,42.9685,74.4286,,удобный въезд,есть,,,0,0,1,0,0,0,0,0,0,0,400.0,20.0,с. Лесное (Сокулукский р-н),False
"Каракол, Тыныстанова",15000,собственник,2.5,зеленая книга,,рассмотрю варианты,42.4934,78.4023,город,удобно под коммерцию,,под самоотделку (псо),,0,1,0,0,0,0,0,0,1,1,250.0,60.0,Каракол,False
с. Чырпыкты,600000,собственник,600.0,,,рассмотрю варианты,42.5177,76.593,,,,,,0,0,0,0,0,0,0,0,0,0,60000.0,10.0,с. Чырпыкты,False
"Бишкек, Кара-Жыгач ж/м, Жүзүмжар 21/Анкара/Каркыра",150000,собственник,7.0,"технический паспорт,                                             красная книга",0.0,,42.856,74.653,,"госакт,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             удобный въезд,                                             все документы",нет,,,1,1,1,0,1,0,0,0,1,0,700.0,214.28571428571428,Бишкек,False
"Бишкек, Кара-Жыгач ж/м, Ул. Берекет/Кадыр Аке",175000,собственник,6.0,"технический паспорт,                                             красная книга",,,42.8576,74.662,город,,,,,0,0,0,0,0,0,0,0,0,0,600.0,291.6666666666667,Бишкек,False
с. Сары-Ой,30000,собственник,2000.0,"договор купли-продажи,                                             красная книга",,,42.6326,76.9352,,"огорожен,                                             хозпостройки,                                             времянка,                                             удобно под коммерцию,                                             все документы",,,,0,0,0,0,0,0,0,0,1,0,200000.0,0.15,с. Сары-Ой,False
"с. Комсомольское, Ком 1",31695,агент,19.0,"технический паспорт,                                             свидетельство о праве на наследство",,,42.9466,74.4716,трасса,"сад,                                             огорожен,                                             ровный",,,,1,1,1,0,0,0,0,0,1,1,1900.0,16.681578947368422,с. Комсомольское,False
"Кемин,  ул. М.Горького б/н/ул. Исраилова",6500,собственник,7.0,,,,42.7861,75.6988,город,,,,,0,0,0,0,0,0,0,0,0,0,700.0,9.285714285714286,Кемин,False
"Бишкек, Кок-Жар м-н, Кийизбаева/Алапаева",65000,собственник,5.0,красная книга,,,42.8501,74.6319,город,,,,,0,1,1,0,1,0,0,0,1,0,500.0,130.0,Бишкек,False
Сокулук,72000,собственник,3018.0,"договор купли-продажи,                                             зеленая книга",,,42.7976,74.2553,,"сад,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,0,0,0,0,0,0,0,0,0,301800.0,0.23856858846918488,Сокулук,False
"Бишкек, Рухий Мурас ж/м",26000,собственник,4.8,красная книга,,,42.8574,74.7097,город,,,,,0,0,0,0,0,0,0,0,0,0,480.0,54.166666666666664,Бишкек,False
"Бишкек, Ак-Ордо ж/м, Акыл-Карачач 66/Ак-Ордо",48000,собственник,5.0,"красная книга,                                             договор купли-продажи",1.0,обмен не предлагать,42.8366,74.5,город,"ровный,                                             все документы",есть,,,0,1,1,0,1,0,0,0,1,0,500.0,96.0,Бишкек,False
"Бишкек, Баха, Баха/Ахунбаева Баха",35000,собственник,60.0,,,,42.8463,74.5596,город,,,,,0,0,0,0,0,0,0,0,0,0,6000.0,5.833333333333333,Бишкек,False
"Бишкек, Жаны куч 17",60000,собственник,12.0,красная книга,,рассмотрю варианты,42.8408,74.4697,,,,,,0,0,1,0,0,0,0,0,1,0,1200.0,50.0,Бишкек,False
"Бишкек, с. Чон-Арык, Кожобергенова/50лет победы",135000,собственник,11.0,"технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",,,42.799,74.573,трасса,"хозпостройки,                                             сад,                                             огорожен,                                             удобно под коммерцию,                                             дом,                                             все документы",,,,0,0,1,0,1,0,0,0,1,1,1100.0,122.72727272727273,Бишкек,False
с. Корумду (Иссык-Кульский р-н),350000,собственник,500.0,"красная книга,                                             договор купли-продажи",,обмен на авто,42.6644,77.432,водоем,,,,,0,0,0,0,0,0,0,0,0,0,50000.0,7.0,с. Корумду (Иссык-Кульский р-н),False
"Бишкек, Рухий Мурас ж/м",41500,собственник,4.0,,,,42.8541,74.6969,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,103.75,Бишкек,False
с. Чон-Далы,12999,собственник,100.0,красная книга,,обмен на авто,42.7836,74.8101,,все документы,,,,0,0,1,0,0,0,0,0,1,0,10000.0,1.2999,с. Чон-Далы,False
"Бишкек, Баха, садырбаева 245 702442652/садырбаева не доежая магистрали",300000,собственник,13.0,красная книга,,,42.8333,74.5632,трасса,,,,,0,1,1,0,0,0,0,0,1,1,1300.0,230.76923076923077,Бишкек,False
"с. Сарбан, СТ Земледелец 62/Сарбан",25000,собственник,12.0,,,обмен не предлагать,42.7808,74.5213,,"хозпостройки,                                             дом,                                             времянка",есть,,,0,0,0,0,0,0,0,0,1,0,1200.0,20.833333333333332,с. Сарбан,False
"Бишкек, Таш Рабат",165000,агент,4.8,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8558,74.6191,город,"фундамент,                                             сад,                                             хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             времянка,                                             все документы",,,,1,1,1,0,1,0,0,0,1,0,480.0,343.75,Бишкек,False
"Бишкек, Чуй - Алматинка, абдумомунова 125 б/Айтматова",120000,собственник,5.5,,1.0,рассмотрю варианты,42.8794,74.6279,город,,,,,0,0,0,0,0,0,0,0,0,0,550.0,218.1818181818182,Бишкек,False
Чолпон-Ата,135000,собственник,15.0,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.6488,77.0997,трасса,,,,,0,1,1,0,0,0,0,0,1,0,1500.0,90.0,Чолпон-Ата,False
с. Аламудун,21000,собственник,4.0,"технический паспорт,                                             красная книга",,,42.9207,74.6326,,,,,,0,0,0,0,0,0,0,0,0,0,400.0,52.5,с. Аламудун,False
с. Бостери,40000,собственник,20.0,красная книга,,,42.6556,77.1935,,"удобный въезд,                                             все документы,                                             удобно под коммерцию,                                             госакт",,,,0,0,0,0,0,0,0,0,0,0,2000.0,20.0,с. Бостери,False
Бишкек/Обьездная,26000,собственник,146.0,,,обмен не предлагать,42.9585,74.5599,,,,,,0,0,1,0,0,0,0,0,1,0,14600.0,1.7808219178082192,Бишкек/Обьездная,False
"Балыкчи, Балыкчы ул 4/олимпийский",4000,собственник,4.5,,,рассмотрю варианты,42.468,76.1554,,,,,,0,0,0,0,0,0,0,0,0,0,450.0,8.88888888888889,Балыкчи,False
с. Кызыл-Туу,30000,собственник,25.0,,,,42.796,74.3578,,,,,,0,0,0,0,0,0,0,0,0,0,2500.0,12.0,с. Кызыл-Туу,False
с. Сары-Ой,19500,собственник,10.0,,,,42.6073,76.9417,водоем,"все документы,                                             удобно под коммерцию,                                             дом",,,,0,0,0,0,0,0,0,0,0,0,1000.0,19.5,с. Сары-Ой,False
"Бишкек, Учкун м-н, садовая 38/Лев Толстой",38000,собственник,4.0,красная книга,,,42.8677,74.6853,город,,,,,0,0,0,0,0,0,0,0,0,0,400.0,95.0,Бишкек,False
с. Ивановка,3500000,агент,1000.0,,,,42.8884,75.0844,,,,,,0,0,0,0,0,0,0,0,0,0,100000.0,35.0,с. Ивановка,False
"Бишкек, Кок-Жар ж/м, керемет",63500,агент,5.0,,,,42.8487,74.645,,,,,,0,0,0,0,0,0,0,0,0,0,500.0,127.0,Бишкек,False
"Бишкек, Киргизия 1 ж/м, Парковая 54",150000,собственник,6.0,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.82,74.5793,город,"хозпостройки,                                             сад,                                             дом,                                             времянка",,,,1,1,1,0,1,0,0,0,1,1,600.0,250.0,Бишкек,False
"Бишкек, Гоин, Советская 407/Жибек Жолу",265000,агент,9.0,договор купли-продажи,,,42.8851,74.6114,город,"дом,                                             времянка",,,,1,1,1,0,1,0,0,0,1,1,900.0,294.44444444444446,Бишкек,False
"Бишкек, Горького/Достоевский",400000,собственник,65.0,"договор купли-продажи,                                             зеленая книга",,рассмотрю варианты,42.8489,74.656,город,"огорожен,                                             ровный,                                             удобный въезд,                                             все документы",,,,0,0,0,0,0,0,0,0,0,0,6500.0,61.53846153846154,Бишкек,False
с. Кара-Джыгач,35000,агент,150.0,,,рассмотрю варианты,42.802,74.7286,,,,,,0,0,1,0,0,0,0,0,0,0,15000.0,2.3333333333333335,с. Кара-Джыгач,False
"Бишкек, Ак-Орго ж/м",150000,агент,7.0,,0.0,рассмотрю варианты,42.8526,74.5203,,"огорожен,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,0,0,0,0,0,0,0,0,0,0,700.0,214.28571428571428,Бишкек,False
